微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",4月1日,你若记得81192,他便不悔,81192收到,我已无法返航,你们继续前进,你们继续前进,很多人记得,有一个编号,叫,81192,有一个英雄,叫,海空卫士王伟,强我国防,卫我海疆,一段视频,转发,铭记,英雄从未远去,我们不会忘记,人民日报的秒拍视频,人民前线,",True,2018-04-01 10:15,新媒体聚合平台,272749,85848,29509
",今天,转发微博,一起为共和国庆生,今天,共和国迎来她68岁华诞,68年来,筚路蓝缕,风雨兼程,你,我,他,我们亿万中国人,共同缔造了共和国的荣光,中国未来的成就与分量,正孕育在你我的点滴努力中,我们怎样,中国便会怎样,此刻,把最真挚美好的祝福送给你,我爱你中国,生日快乐,组图共9张,原图,",True,2017-10-01 07:00,微博 weibo.com,214422,152373,18808
",感动,他们用一场快闪表白祖国,我和我的祖国,一刻也不能分割,爱国之情,流淌在中华民族的血脉中,近日,我和我的祖国,的旋律在古都西安响起,他们一场特殊的快闪,献礼,新中国成立70周年,转,一起表白祖国,人民日报的秒拍视频,",True,2019-05-25 13:27,新媒体聚合平台,50073,318881,10345
",云南,冰花男孩,冒冰霜上学,网友鼓励,努力读书改变命运,9日,一男孩在教室中头发和眉毛被风霜粘成雪白的照片引发关注,男孩是云南鲁甸县转山包小学三年级学生,父母在外务工,孩子家离学校4,5公里,上学要走一个多小时,当天气温零下9度,孩子走路上学,头发和眉毛都沾满冰霜,云南昭通,冰花,男孩冒冰霜上学造型走红,网友,好心疼,组图共6张,原图,",True,2018-01-09 12:54,新媒体聚合平台,284349,43749,49159
"愿年迈蹒跚,阳光和你仍在,今天七夕,又见七夕,组图共9张,原图,",True,2018-08-17 07:00,新媒体聚合平台,210239,90274,63874
",生日快乐,2月29日出生的孩子,亲爱的王校长,我的生日2月29日,这是个特殊的日子,我可不可以在2月28日吃一次蛋糕,胡诗琪的学校是寄宿制,食堂只按登记的生日发小蛋糕,于是,她写了这封信,校长,小蛋糕安排上了,全校唯一2月29日生日的孩子,祝你生日快乐,",True,2019-03-01 09:14,微博 weibo.com,288753,34621,32312
",正在直播,清华大学2018年开学典礼,又一年,开学季,00后大一新生登场,清华2018新生里,2000年后出生的最多,占了3,4,到最高学府就读是种怎样的体验,清华大学2018年开学典礼今日举行,人民日报,带你去感受现场,一起围观,人民日报的微博直播,",True,2018-08-23 08:59,微博网页版,305716,34576,14764
",十年对比挑战,长大后我就成了你,当代,中青年,大型,真香,现场,你中招了几个,默默转走,组图共9张,原图,",True,2019-01-29 07:32,新媒体聚合平台,166127,103873,85030
",此刻,无论你在哪,请为3500万伤亡同胞而转,14年的血与泪,我们不能忘,不敢忘,1945年8月15日,日本战败投降,今天,我们祭奠同胞,只为警醒,珍爱和平,吾辈自强,人民日报的秒拍视频,",True,2018-08-15 07:27,新媒体聚合平台,213351,114335,24052
",一起转发,传递真相,123年前的今天,日本窃取钓鱼岛,1894年中日甲午战争,中国战败,1895年1月14日,日本明治政府秘密决定将钓鱼岛,纳入日本领土,1月21日,日本内阁再次讨论,决定强行占领钓鱼岛,钓鱼岛及其附属岛屿自古以来就是中国领土,中国最早发现,命名并利用钓鱼岛,钓鱼岛,中国的,组图共9张,原图,",True,2018-01-21 07:30,微博 weibo.com,252773,77069,15423
